id,country_name,geo_id,industry_name,industry_id,size_label,size_code,status,last_page,total_found,created_at,updated_at
1258839,Austria,103883259,Design Services,45,11-50 employees,C,exhausted,10,80,2026-04-05T15:19:37Z,2026-04-05T15:30:41Z
1259280,Austria,103883259,Utilities,49,11-50 employees,C,exhausted,10,100,2026-04-05T15:19:37Z,2026-04-05T15:39:16Z
1290164,Austria,103883259,Automotive,53,11-50 employees,C,exhausted,10,100,2026-04-10T14:40:28Z,2026-04-10T14:57:42Z
1290227,Austria,103883259,Chemical Manufacturing,54,11-50 employees,C,exhausted,10,100,2026-04-10T14:40:28Z,2026-04-10T15:02:03Z
1290591,Austria,103883259,Luxury Goods and Jewelry,57,11-50 employees,C,exhausted,1,10,2026-04-10T14:40:28Z,2026-04-18T00:33:49Z
1290724,Austria,103883259,Security and Investigations,52,11-50 employees,C,exhausted,10,100,2026-04-10T14:40:28Z,2026-04-10T14:53:13Z
1290794,Austria,103883259,Wholesale,50,11-50 employees,C,exhausted,10,100,2026-04-10T14:40:28Z,2026-04-10T14:47:44Z
1321650,Austria,103883259,Arts and Crafts,90,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:06:35Z
1321699,Austria,103883259,Broadcast Media Production and Distribution,64,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:38:57Z
1321706,Austria,103883259,Building Materials,91,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:08:34Z
1321804,Austria,103883259,Consumer Services,94,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:12:05Z
1321860,Austria,103883259,Education Administration Programs,68,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:46:25Z
1321916,Austria,103883259,Fine Art,93,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:10:42Z
1321944,Austria,103883259,Government Administration,75,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:50:57Z
1321965,Austria,103883259,Higher Education,69,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:47:54Z
1321993,Austria,103883259,Import and Export,65,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:40:29Z
1322007,Austria,103883259,Information Services,84,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:58:47Z
1322021,Austria,103883259,International Affairs,76,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:55:03Z
1322028,Austria,103883259,International Trade and Development,66,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:44:51Z
1322119,Austria,103883259,Market Research,87,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:05:20Z
1322133,Austria,103883259,Medical Equipment Manufacturing,86,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:01:45Z
1322168,Austria,103883259,Performing Arts,61,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:37:24Z
1322175,Austria,103883259,Pharmaceutical Manufacturing,85,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T01:00:11Z
1322231,Austria,103883259,Semiconductor Manufacturing,7,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:49:29Z
1322252,Austria,103883259,Telecommunications,8,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:56:42Z
1322259,Austria,103883259,Technology Information and Internet,6,11-50 employees,C,exhausted,0,0,2026-04-18T00:33:11Z,2026-04-18T00:35:29Z
1353234,Austria,103883259,Civic and Social Organizations,95,11-50 employees,C,exhausted,10,70,2026-04-23T02:32:47Z,2026-04-23T02:38:49Z
1353249,Austria,103883259,Cloud Computing,104,51-200 employees,D,exhausted,10,100,2026-04-23T02:32:47Z,2026-04-23T02:58:41Z
1353403,Austria,103883259,Farming,1,51-200 employees,D,exhausted,10,60,2026-04-23T02:32:47Z,2026-04-23T02:46:40Z
1353549,Austria,103883259,IT Services and IT Consulting,96,11-50 employees,C,exhausted,10,100,2026-04-23T02:32:47Z,2026-04-23T02:42:57Z
1353655,Austria,103883259,Newspaper Publishing,105,51-200 employees,D,exhausted,10,80,2026-04-23T02:32:47Z,2026-04-26T00:30:26Z
1353683,Austria,103883259,Professional Training and Coaching,100,51-200 employees,D,exhausted,10,100,2026-04-23T02:32:47Z,2026-04-23T02:51:21Z
1353690,Austria,103883259,Public Relations and Communications Services,1028,51-200 employees,D,exhausted,0,0,2026-04-23T02:32:47Z,2026-04-23T02:52:46Z
1384686,Austria,103883259,Biotechnology,11,51-200 employees,D,exhausted,10,100,2026-04-26T00:24:19Z,2026-04-26T00:43:00Z
